date,home_team,away_team,home_score,away_score,home_lineup,away_lineup
10.4.2016,Lille ,Monaco ,4,1,"['Vincent Enyeama', 'Marko Basa', 'Ibrahim Amadou', 'Renato Civelli', 'Sébastien Corchia', 'Djibril Sidibé', 'Florent Balmont', 'Mounir Obbadi', 'Sofiane Boufal', 'Morgan Amalfitano', 'Eder']","['Danijel Subasic', 'Ricardo Carvalho', 'Andrea Raggi', 'Jemerson', 'Fabinho', 'Elderson Echiejile', 'Jérémy Toulalan', 'Thomas Lemar', 'Nabil Dirar', 'Bernardo Silva', 'Vágner Love']"
10.4.2016,Nice ,Rennes ,3,0,"['Yoan Cardinale', 'Paul Baysse', 'Maxime Le Marchand', 'Jérémy Pied', 'Ricardo Pereira', 'Jean-Michaël Seri', 'Nampalys Mendy', 'Vincent Koziello', 'Hatem Ben Arfa', 'Alassane Pléa', 'Valère Germain']","['Benoît Costil', 'Sylvain Armand', 'Fallou Diagne', ""Cheikh M'Bengue"", 'Romain Danzé', 'Gelson Fernandes', 'Benjamin André', 'Yoann Gourcuff', 'Jérémie Boga', 'Kamil Grosicki', 'Ousmane Dembélé']"
10.4.2016,Marseille ,Bordeaux ,0,0,"['Steve Mandanda', ""Nicolas N'Koulou"", 'Karim Rekik', 'Javier Manquillo', 'Benjamin Mendy', 'Mauricio Isla', 'Lucas Silva', 'Florian Thauvin', 'Rémy Cabella', 'Bouna Sarr', 'Steven Fletcher']","['Jérôme Prior', 'Pablo', 'Cédric Yambéré', 'Mathieu Debuchy', 'Frédéric Guilbert', 'Diego Contento', 'Jaroslav Plasil', 'André Poko', 'Thomas Touré', 'Enzo Crivelli', 'Adam Ounas']"
15.4.2016,Lyon ,Nice ,1,1,"['Anthony Lopes', 'Mapou Yanga-Mbiwa', 'Samuel Umtiti', 'Christophe Jallet', 'Henri Bédimo', 'Maxwel Cornet', 'Maxime Gonalons', 'Jordan Ferri', 'Sergi Darder', 'Rachid Ghezzal', 'Alexandre Lacazette']","['Yoan Cardinale', 'Paul Baysse', 'Maxime Le Marchand', 'Ricardo Pereira', 'Jérémy Pied', 'Nampalys Mendy', 'Jean-Michaël Seri', 'Vincent Koziello', 'Hatem Ben Arfa', 'Alassane Pléa', 'Valère Germain']"
16.4.2016,Paris S-G ,Caen ,6,0,"['Salvatore Sirigu', 'Marquinhos', 'Presnel Kimpembe', 'Gregory van der Wiel', 'Layvin Kurzawa', 'Benjamin Stambouli', 'Blaise Matuidi', 'Ángel Di María', 'Lucas', 'Zlatan Ibrahimovic', 'Edinson Cavani']","['Rémy Vercoutre', 'Alaeddine Yahia', 'Dennis Appiah', 'Nicolas Seube', 'Jordan Adéoti', 'Jonathan Delaplace', 'Jordan Leborgne', 'Saidi Ntibazonkiza', 'Jordan Nkololo', 'Ronny Rodelin', 'Vincent Bessat']"
16.4.2016,ESTAC Troyes ,Reims ,2,1,"['Matthieu Dreyer', 'Matthieu Saunier', 'Rincon', 'Chris Mavinga', 'Thiago Xavier', 'Jessy Pi', 'Aloïs Confais', 'Benjamin Nivet', 'Stéphane Darbion', 'Fabien Camus', 'Corentin Jean']","['Johann Carrasso', 'Anthony Weber', 'Aissa Mandi', 'Antoine Conte', 'Franck Signorino', 'Jaba Kankava', 'Antoine Devaux', 'Prince Oniangué', 'Lass', 'Thievy Bifouma', 'Nicolas de Préville']"
16.4.2016,Bordeaux ,Angers ,1,3,"['Jérôme Prior', 'Cédric Yambéré', 'Pablo', 'Mathieu Debuchy', 'Diego Contento', 'Frédéric Guilbert', 'Jaroslav Plasil', 'Thomas Touré', 'Jussiê', 'Isaac Thelin', 'Diego Rolán']","['Alexandre Letellier', 'Romain Thomas', 'Ismaël Traoré', 'Yoann Andreu', 'Arnold Bouka Moutou', 'Thomas Mangani', 'Romain Saïss', 'Cheikh Ndoye', 'Pierrick Capelle', 'Gilles Sunu', 'Billy Ketkeophomphone']"
16.4.2016,Lorient ,Toulouse FC ,1,1,"['Benjamin Lecomte', 'Lindsay Rose', 'Zargo Touré', 'Raphaël Guerreiro', 'Lamine Gassama', 'Rafidine Abdullah', 'Didier Ndong', 'Maxime Barthelmé', 'Romain Philippoteaux', 'Benjamin Moukandjo', 'Benjamin Jeannot']","['Alban Lafont', 'Jean-Armel Kana-Biyik', 'Steeve Yago', 'Marcel Tisserand', 'François Moubandje', 'Tongo Doumbia', 'Alexis Blin', 'Etienne Didot', 'Adrien Regattin', 'Wissam Ben Yedder', 'Martin Braithwaite']"
16.4.2016,Gazélec Ajaccio ,Lille ,2,4,"['Clément Maury', 'Jérémie Bréchet', 'Kader Mangane', 'Rodéric Filippi', 'Pablo Martinez', 'Issiaga Sylla', 'Louis Poggi', 'Damjan Djokovic', 'Mohamed Larbi', 'Grégory Pujol', 'Khalid Boutaïb']","['Vincent Enyeama', 'Stoppila Sunzu', 'Ibrahim Amadou', 'Adama Soumaoro', 'Sébastien Corchia', 'Djibril Sidibé', 'Rio Mavuba', 'Florent Balmont', 'Sofiane Boufal', 'Yassine Benzia', 'Eder']"
16.4.2016,Bastia ,Saint-Etienne ,0,1,"['Jean-Louis Leca', 'Alexander Djiku', 'Sébastien Squillaci', 'Mathieu Peybernes', 'Julian Palmieri', 'Lassana Coulibaly', 'Mehdi Mostefa', 'Gaël Danic', 'Brandão', 'Floyd Ayité', 'François Kamano']","['Stéphane Ruffier', 'Loïc Perrin', 'Moustapha Bayal Sall', 'K. Théophile-Catherine', 'Benoît Assou-Ekotto', 'Fabien Lemoine', 'Renaud Cohade', 'Jérémy Clément', 'Kevin Monnet-Paquet', 'Oussama Tannane', 'Nolan Roux']"
17.4.2016,Nantes ,Montpellier ,0,2,"['Maxime Dupé', 'Oswaldo Vizcarrondo', 'Koffi Djidji', 'Ermir Lenjani', 'Léo Dubois', 'Rémi Gomis', 'Alejandro Bedoya', 'Guillaume Gillet', 'Birama Touré', 'Adryan', 'Emiliano Sala']","['Geoffrey Jourdren', 'Daniel Congré', 'Vitorino Hilton', 'William Rémy', 'Jérôme Roussillon', 'Ellyes Skhiri', 'Jonas Martin', 'Bryan Dabo', 'Ryad Boudebouz', 'Souleymane Camara', 'Casimir Ninga']"
17.4.2016,Rennes ,Guingamp ,0,3,"['Benoît Costil', 'Mexer', 'Fallou Diagne', 'Sylvain Armand', 'Romain Danzé', 'Benjamin André', 'Gelson Fernandes', 'Yoann Gourcuff', 'Kamil Grosicki', 'Giovanni Sio', 'Ousmane Dembélé']","['Jonas Lössl', 'Jérémy Sorbon', 'Christophe Kerbrat', 'Lars Jacobsen', 'Jonathan Martins Pereira', 'Moustapha Diallo', 'Younousse Sankharé', 'Marcus Coco', 'Ludovic Blas', 'Thibault Giresse', 'Jimmy Briand']"
17.4.2016,Monaco ,Marseille ,2,1,"['Danijel Subasic', 'Wallace', 'Ricardo Carvalho', 'Andrea Raggi', 'Fabinho', 'Tiémoué Bakayoko', 'Jérémy Toulalan', 'Nabil Dirar', 'Bernardo Silva', 'Lacina Traoré', 'Hélder Costa']","['Steve Mandanda', 'Karim Rekik', ""Nicolas N'Koulou"", 'Javier Manquillo', 'Benjamin Mendy', 'Alaixys Romao', 'Lucas Silva', 'Lucas Ocampos', 'Rémy Cabella', 'Bouna Sarr', 'Michy Batshuayi']"
