date,home_team,away_team,home_score,away_score,home_lineup,away_lineup
19-8-2017,Lyon ,Bordeaux ,3,3,"['Anthony Lopes', 'Marcelo', 'Jérémy Morel', 'Marçal', 'Kenny Tete', 'Lucas Tousart', 'Sergi Darder', 'Memphis Depay', 'Mariano', 'Bertrand Traoré', 'Nabil Fekir']","['Benoît Costil', 'Jérémy Toulalan', 'Vukasin Jovanovic', 'Youssouf Sabaly', 'Théo Pellenard', 'Younousse Sankharé', 'Lukas Lerager', 'Valentín Vada', 'Malcom', 'Alexandre Mendy', 'François Kamano']"
19-8-2017,Montpellier ,Strasbourg ,1,1,"['Benjamin Lecomte', 'Daniel Congré', 'Pedro Mendes', 'Nordi Mukiele', 'Ruben Aguilar', 'Facundo Píriz', 'Paul Lasne', 'Stéphane Sessègnon', 'Kevin Bérigaud', 'Isaac Mbenza', 'Giovanni Sio']","['Bingourou Kamara', 'Kader Mangane', 'Pablo Martinez', 'Yoann Salmier', 'Kenny Lala', 'Anthony Gonçalves', 'Jonas Martin', 'Jean-Eudes Aholou', 'Benjamin Corgnet', 'Ihsan Sacko', 'Idriss Saadi']"
19-8-2017,Nice ,Guingamp ,2,0,"['Yoan Cardinale', 'Dante', 'Maxime Le Marchand', 'Christophe Jallet', 'Arnaud Souquet', 'Adrien Tameze', 'Jean-Michaël Seri', 'Rémi Walter', 'Wesley Sneijder', 'Pierre Lees-Melou', 'Alassane Pléa']","['Karl-Johan Johnsson', 'Christophe Kerbrat', 'Jérémy Sorbon', 'Jordan Ikoko', 'Pedro Rebocho', 'Lebogang Phiri', 'Lucas Deaux', 'Etienne Didot', 'Abdoul Camara', 'Ludovic Blas', 'Jimmy Briand']"
19-8-2017,Rennes ,Dijon ,2,2,"['Abdoulaye Diallo', 'Mexer', 'Joris Gnagnon', 'Faitout Maouassa', 'Hamari Traoré', 'Ramy Bensebaini', 'Benjamin André', 'Morgan Amalfitano', 'Benjamin Bourigeaud', 'Firmin Mubele', 'Ismaïla Sarr']","['Baptiste Reynet', 'Cédric Varrault', 'Cédric Yambéré', 'Oussama Haddadi', 'Fouad Chafik', 'Florent Balmont', 'Romain Amalfitano', 'Jordan Marié', 'Frédéric Sammaritano', 'Naïm Sliti', 'Chang-hoon Kwon']"
19-8-2017,Saint-Etienne ,Amiens ,3,0,"['Stéphane Ruffier', 'Loïc Perrin', 'K. Théophile-Catherine', 'Saidy Janko', 'Ronaël Pierre-Gabriel', 'Assane Dioussé', 'Bryan Dabo', 'Ole Selnaes', 'Jonathan Bamba', 'Romain Hamouma', 'Loïs Diony']","['Régis Gurtner', 'Mathieu Bodmer', 'Khaled Adenon', 'Prince-Désir Gouano', 'Bakaye Dibassy', 'Julien Ielsch', 'Oualid El Hajjam', 'Thomas Monconduit', 'Tanguy Ndombele', 'Gaël Kakuta', 'Moussa Konaté']"
19-8-2017,ESTAC Troyes ,Nantes ,0,1,"['Mamadou Samassa', 'Oswaldo Vizcarrondo', 'Christophe Hérelle', 'Mathieu Deplagne', 'Charles Traoré', 'Karim Azamoum', 'Tristan Dingomé', 'Samuel Grandsir', 'Stéphane Darbion', 'Benjamin Nivet', 'Adama Niane']","['Ciprian Tatarusanu', 'Koffi Djidji', 'Anthony Walongwa', 'Chidozie Awaziem', 'Andrei Girotto', 'Lucas Lima', 'David Alcibiade', 'Abdoulaye Touré', 'Jules Iloki', 'Adrien Thomasson', 'Emiliano Sala']"
20-8-2017,Lille ,Caen ,0,2,"['Hervé Kouakou Koffi', 'Ibrahim Amadou', 'Edgar Ié', 'Junior Alonso', 'Fodé Ballo-Touré', 'Thiago Maia', 'Yves Bissouma', 'Luiz Araujo', 'Yassine Benzia', 'Anwar El Ghazi', 'Nicolas Pépé']","['Rémy Vercoutre', 'Damien Da Silva', 'Alexander Djiku', 'Frédéric Guilbert', 'Adama Mbengue', 'Youssef Aït Bennasser', 'Julien Féret', 'Ronny Rodelin', 'Hervé Bazile', 'Vincent Bessat', 'Ivan Santini']"
20-8-2017,Marseille ,Angers ,1,1,"['Steve Mandanda', 'Adil Rami', 'Rolando', 'Jordan Amavi', 'Bouna Sarr', 'Luiz Gustavo', 'Morgan Sanson', 'André Zambo Anguissa', 'Lucas Ocampos', 'Florian Thauvin', 'Clinton Njie']","['Alexandre Letellier', 'Mateo Pavlovic', 'Romain Thomas', 'Yoann Andreu', 'Vincent Manceau', 'Lassana Coulibaly', 'Baptiste Santamaria', 'Thomas Mangani', 'Angelo Fulgini', 'Karl Toko Ekambi', 'Enzo Crivelli']"
20-8-2017,Paris S-G ,Toulouse FC ,6,2,"['Alphonse Areola', 'Thiago Silva', 'Presnel Kimpembe', 'Dani Alves', 'Layvin Kurzawa', 'Thiago Motta', 'Marco Verratti', 'Adrien Rabiot', 'Ángel Di María', 'Edinson Cavani', 'Neymar']","['Alban Lafont', 'Christopher Jullien', 'Issa Diop', 'Kelvin Amian', 'François Moubandje', 'Alexis Blin', 'Jimmy Durmaz', 'Ola Toivonen', 'Max-Alain Gradel', 'Somalia', 'Andy Delort']"
25-8-2017,Paris S-G ,Saint-Etienne ,3,0,"['Alphonse Areola', 'Marquinhos', 'Presnel Kimpembe', 'Layvin Kurzawa', 'Thomas Meunier', 'Thiago Motta', 'Adrien Rabiot', 'Ángel Di María', 'Javier Pastore', 'Edinson Cavani', 'Neymar']","['Stéphane Ruffier', 'K. Théophile-Catherine', 'Loïc Perrin', 'Gabriel Silva', 'Saidy Janko', 'Ronaël Pierre-Gabriel', 'Habib Maïga', 'Bryan Dabo', 'Ole Selnaes', 'Romain Hamouma', 'Jonathan Bamba']"
